item_id,timestamp,target_value,target_value,target_value,target_value,target_value,target_value,target_value,target_value,target_value,target_value,target_value,target_value,target_value,target_value,target_value,target_value
2020122706050811,2021-12-25 16:40:00,25.9,33.9,106.9,8.9,6.3,17.3,6.8,127.4,6.3,7.6,85.8,7.5,5.5,18.0,83.2,83.2
2020122706050811,2021-12-25 16:45:00,26.4,34.4,99.2,8.9,6.5,17.3,5.7,128.7,6.5,7.9,88.4,7.7,5.7,18.5,85.4,84.9
2020122706050811,2021-12-25 16:51:00,26.6,31.5,94.2,8.9,6.5,17.4,5.8,127.4,6.4,7.9,89.6,7.8,5.7,18.7,86.5,84.5
2020122706050811,2021-12-25 16:56:00,27.4,31.9,96.3,8.7,6.7,17.8,5.4,130.0,6.3,8.0,91.8,8.0,5.8,19.2,88.5,86.9
2020122706050811,2021-12-25 17:01:00,27.8,30.9,98.7,8.8,6.6,18.1,5.4,133.2,6.4,8.2,94.1,8.2,5.4,19.6,90.7,88.6
2020122706050811,2021-12-25 17:07:00,27.3,29.1,99.3,8.9,6.5,18.3,5.5,132.8,6.5,8.2,93.5,8.3,5.4,19.8,89.6,88.7
2020122706050811,2021-12-25 17:12:00,27.1,29.3,98.8,8.9,6.6,17.6,5.5,133.9,6.5,8.2,94.3,8.4,5.3,19.9,90.4,89.5
2020122706050811,2021-12-25 17:17:00,27.3,29.2,99.4,8.9,6.6,17.7,5.5,112.6,6.5,8.3,94.9,8.4,5.2,20.1,91.0,90.1
2020122706050811,2021-12-25 17:23:00,27.4,29.1,100.3,8.8,6.7,17.6,5.5,113.7,6.5,8.3,95.8,8.5,5.2,20.3,90.7,88.7
2020122706050811,2021-12-25 17:28:00,30.8,29.9,111.7,9.7,7.5,19.7,6.2,125.9,3.8,8.7,105.1,9.6,5.8,22.8,98.7,98.5
2020122706050811,2021-12-25 17:34:00,30.7,30.6,114.2,10.0,7.6,19.2,6.0,128.2,3.9,8.9,106.0,8.8,5.8,23.4,100.7,100.2
2020122706050811,2021-12-25 17:39:00,30.7,30.6,114.4,10.0,7.6,18.7,6.0,128.8,3.9,8.9,106.3,8.7,5.8,23.5,100.9,100.4
2020122706050811,2021-12-25 17:44:00,30.4,28.8,116.0,10.2,7.7,18.8,6.1,127.1,3.8,8.9,108.4,8.9,5.8,24.0,102.7,102.2
2020122706050811,2021-12-25 17:50:00,30.7,29.0,115.8,10.3,7.7,18.7,6.2,128.4,3.8,8.9,109.9,8.8,5.7,24.3,104.2,103.7
2020122706050811,2021-12-25 17:55:00,31.0,28.2,111.0,10.2,7.7,17.2,6.3,129.9,3.8,9.0,111.3,8.9,5.8,24.4,104.7,99.9
2020122706050811,2021-12-25 18:00:00,31.2,28.3,107.3,10.3,7.7,17.3,6.3,130.9,3.8,9.1,112.1,8.7,5.8,24.5,104.8,100.7
2020122706050811,2021-12-25 18:06:00,31.2,28.6,105.8,10.3,7.6,16.7,6.2,131.7,3.8,9.0,112.7,8.7,5.8,24.8,103.4,100.2
2020122706050811,2021-12-25 18:11:00,30.9,28.5,80.8,10.4,7.5,16.1,6.2,127.9,3.9,9.1,113.9,8.8,5.9,25.1,102.7,101.6
2020122706050811,2021-12-25 18:16:00,31.2,28.8,82.4,10.7,7.7,16.4,6.3,128.1,3.6,9.2,115.8,9.0,6.0,25.7,104.7,102.6
2020122706050811,2021-12-25 18:22:00,31.4,29.0,83.1,10.7,7.8,16.2,6.3,123.8,3.6,9.3,117.1,9.0,5.9,25.9,105.7,101.7
2020122706050811,2021-12-25 18:27:00,31.5,29.4,84.5,10.9,7.9,16.5,6.3,126.1,3.7,8.9,118.7,8.7,5.7,26.5,106.3,103.1
2020122706050811,2021-12-25 18:32:00,32.4,30.2,85.7,11.1,8.2,16.9,6.5,128.8,3.5,9.2,118.3,8.9,5.5,27.2,104.1,102.6
2020122706050811,2021-12-25 18:38:00,32.0,30.4,82.3,11.1,8.3,15.6,6.6,113.4,3.5,9.1,117.6,9.0,5.6,27.5,103.6,98.4
2020122706050811,2021-12-25 18:43:00,31.4,30.8,82.1,11.2,8.3,15.9,6.2,115.4,3.6,9.0,118.6,9.1,5.7,27.9,105.0,98.3
2020122706050811,2021-12-25 18:48:00,31.1,30.5,82.2,11.2,8.4,15.9,6.2,116.0,3.6,8.9,119.6,9.2,5.7,26.8,104.9,99.2
2020122706050811,2021-12-25 18:54:00,31.1,30.8,81.9,11.2,8.3,15.8,6.3,113.7,3.6,9.0,117.5,9.2,5.6,27.1,105.9,100.4
2020122706050811,2021-12-25 18:59:00,30.3,31.0,81.9,11.2,8.3,15.8,6.3,113.8,3.6,9.0,117.5,9.2,5.6,27.3,106.0,100.2
2020122706050811,2021-12-25 19:04:00,30.3,31.0,82.0,11.3,8.3,15.8,6.2,114.0,3.6,9.0,117.7,9.2,5.6,27.2,106.2,99.8
2020122706050811,2021-12-25 19:10:00,30.3,31.0,82.0,11.3,8.3,15.8,6.2,114.0,3.6,9.0,117.7,9.2,5.6,27.2,106.2,99.8
2020122706050811,2021-12-25 19:17:00,30.3,31.0,82.0,11.3,8.3,15.8,6.2,114.0,3.6,9.0,117.7,9.2,5.6,27.2,106.2,99.8
2020122706050811,2021-12-25 20:59:00,30.3,31.0,82.0,11.3,8.3,15.8,6.2,114.0,3.6,9.0,117.7,9.2,5.6,27.2,106.2,99.8
2020122706050811,2021-12-25 21:05:00,27.9,26.4,92.7,11.3,8.7,14.8,6.1,117.9,3.5,9.7,111.1,10.3,5.5,29.8,108.8,110.3
2020122706050811,2021-12-25 21:11:00,23.8,27.3,86.6,10.7,9.8,16.3,4.3,115.4,3.8,10.6,111.1,12.2,5.6,35.8,109.5,126.1
2020122706050811,2021-12-25 21:17:00,26.0,30.0,93.8,11.8,9.0,16.8,4.3,120.9,3.5,10.7,100.7,13.0,5.9,36.7,110.4,135.9
2020122706050811,2021-12-25 21:22:00,21.6,28.7,98.8,12.0,9.6,17.1,4.6,121.8,3.2,11.0,96.6,13.6,6.1,38.1,119.2,136.7
2020122706050811,2021-12-25 21:28:00,18.3,29.0,102.9,12.5,10.1,18.0,4.4,127.0,3.2,11.5,102.5,12.4,6.1,40.3,124.5,135.9
2020122706050811,2021-12-25 21:34:00,17.9,28.5,106.9,12.4,9.8,17.6,4.4,130.6,3.3,11.8,97.9,12.7,6.2,33.8,128.3,129.7
2020122706050811,2021-12-25 21:40:00,17.8,28.2,108.3,12.1,9.9,17.3,4.4,134.3,3.3,11.8,97.7,12.9,6.2,34.3,128.5,129.4
2020122706050811,2021-12-25 21:46:00,18.1,28.1,111.0,12.3,9.8,17.8,4.4,136.6,3.2,11.6,99.1,13.3,6.3,34.1,128.3,129.2
2020122706050811,2021-12-25 21:52:00,17.9,28.7,107.7,12.5,9.8,17.8,4.4,137.2,3.2,11.4,98.5,13.6,6.2,33.4,130.1,126.6
2020122706050811,2021-12-25 21:57:00,17.8,23.4,109.8,12.4,9.6,17.3,4.5,141.2,3.2,11.6,99.8,14.0,6.3,34.2,133.2,124.4
2020122706050811,2021-12-25 22:03:00,17.5,23.7,109.5,12.0,9.7,17.2,4.5,137.2,3.3,11.3,100.7,14.3,6.3,34.7,133.5,115.4
2020122706050811,2021-12-25 22:09:00,17.8,23.4,110.9,12.2,9.8,17.6,4.6,139.8,3.1,11.1,102.7,14.3,6.5,34.7,136.8,114.8
2020122706050811,2021-12-25 22:15:00,17.4,23.6,113.2,12.0,9.7,17.9,4.7,140.7,3.1,11.3,103.9,14.6,6.4,35.0,138.4,115.5
2020122706050811,2021-12-25 22:21:00,17.8,24.0,112.3,12.2,9.6,18.1,4.8,138.5,3.0,10.5,106.5,14.9,6.5,35.5,141.5,118.4
2020122706050811,2021-12-25 22:27:00,18.1,24.6,114.0,12.1,9.8,18.3,4.6,141.4,3.1,10.7,108.9,15.2,6.4,36.4,140.5,112.6
2020122706050811,2021-12-25 22:32:00,18.2,23.5,115.7,12.3,9.7,18.2,4.7,140.8,3.1,10.5,108.7,15.4,6.4,37.2,140.8,113.5
2020122706050811,2021-12-25 22:38:00,18.4,23.9,118.0,12.0,9.5,18.3,4.7,139.4,3.0,10.4,109.2,15.6,6.5,37.8,138.8,114.6
2020122706050811,2021-12-25 22:44:00,18.7,24.2,116.2,12.0,9.4,18.1,4.8,126.3,3.0,10.4,109.7,15.5,6.5,38.6,134.9,113.5
2020122706050811,2021-12-25 22:50:00,18.6,23.9,109.9,11.9,9.4,18.2,4.8,125.4,3.0,10.4,110.9,15.5,6.4,39.4,136.7,114.5
2020122706050811,2021-12-25 22:56:00,18.6,23.9,108.6,12.0,9.4,17.7,4.8,125.9,3.1,10.5,100.5,15.6,6.4,39.1,137.4,115.3
2020122706050811,2021-12-25 23:02:00,18.5,23.7,109.9,11.4,9.4,17.6,4.9,126.6,3.1,10.4,100.2,15.7,6.4,39.7,137.0,116.8
2020122706050811,2021-12-25 23:07:00,18.7,23.9,109.8,11.5,9.5,17.5,4.9,123.6,3.1,10.4,101.5,15.9,6.3,39.8,137.8,117.5
2020122706050811,2021-12-25 23:13:00,18.7,23.8,110.2,11.6,9.5,17.6,4.9,121.8,3.1,10.3,102.2,15.7,6.3,39.7,138.0,117.7
2020122706050811,2021-12-25 23:19:00,19.1,24.3,111.1,11.8,9.6,18.0,4.9,122.6,3.0,10.4,104.3,15.8,6.3,40.5,135.9,108.7
2020122706050811,2021-12-25 23:25:00,19.0,24.4,111.4,11.7,9.7,18.1,5.0,122.9,3.0,10.3,104.5,15.9,6.3,40.1,136.1,106.6
2020122706050811,2021-12-25 23:31:00,19.1,24.4,111.8,11.8,9.8,18.1,5.0,119.3,3.0,10.3,103.9,15.7,6.3,39.1,137.1,105.9
2020122706050811,2021-12-25 23:37:00,19.3,24.4,110.7,11.8,9.8,18.1,5.0,116.5,3.0,10.4,104.3,15.0,6.3,39.2,136.9,105.7
2020122706050811,2021-12-25 23:42:00,19.4,24.4,109.4,11.9,9.8,18.0,5.1,116.3,3.0,10.3,103.7,15.1,6.3,39.5,134.3,105.6
2020122706050811,2021-12-25 23:48:00,19.5,24.5,110.0,12.0,9.9,18.0,5.1,116.1,3.0,10.1,103.7,15.1,6.2,39.7,134.9,106.1
2020122706050811,2021-12-25 23:54:00,19.4,24.6,109.9,12.0,9.8,18.0,5.1,115.1,3.0,10.0,102.7,15.2,6.2,38.8,134.3,105.5
2020122706050811,2021-12-26 00:05:00,19.4,24.5,109.9,11.9,9.8,18.0,5.1,115.2,3.0,10.0,103.1,15.0,6.2,38.9,134.4,105.6
2020122706050811,2021-12-26 00:10:00,19.6,23.8,111.9,12.0,10.0,18.2,4.8,116.5,3.0,10.1,105.0,15.3,6.3,39.5,136.0,107.4
2020122706050811,2021-12-26 00:16:00,19.7,23.5,111.6,12.0,10.0,18.1,4.8,108.9,3.0,10.1,104.7,15.4,6.2,39.5,136.6,106.5
2020122706050811,2021-12-26 00:22:00,19.8,23.5,111.4,12.0,10.0,18.1,4.8,109.5,3.0,10.1,104.8,15.3,6.2,39.8,136.1,106.9
2020122706050811,2021-12-26 00:28:00,19.9,23.5,111.9,12.0,9.9,18.0,4.8,110.0,3.1,10.2,105.4,15.0,6.3,39.3,136.4,107.1
2020122706050811,2021-12-26 00:34:00,20.0,23.6,112.5,12.0,10.0,17.9,4.8,107.6,3.1,10.2,106.0,14.9,6.2,39.4,136.2,107.6
2020122706050811,2021-12-26 00:40:00,20.1,23.6,112.6,12.0,10.0,17.7,4.8,107.0,3.1,10.2,106.0,14.9,6.2,39.5,136.9,107.1
2020122706050811,2021-12-26 00:45:00,19.9,23.4,111.4,12.0,10.0,17.8,4.8,106.5,3.1,10.2,106.1,14.9,6.2,39.2,136.0,107.1
